location,year,month,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_cases,new_cases,total_deaths,new_deaths,vaccine_types_used
Argentina,2020,12,104470,104445.0,25.0,47136788.0,200981.0,1278031.0,4515.0,"Moderna, Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V"
Argentina,2021,1,6729473,6055417.0,673599.0,55312462.0,301725.0,1412028.0,4729.0,"Moderna, Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V"
Argentina,2021,2,20637015,14003718.0,6632562.0,56733848.0,180126.0,1407809.0,3991.0,"Moderna, Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V, CanSino"
Argentina,2021,3,86521743,70325290.0,16195445.0,68713761.0,241456.0,1674835.0,3893.0,"CanSino, Moderna, Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V, Pfizer/BioNTech"
Argentina,2021,4,191214278,166371920.0,24841032.0,79416752.0,628542.0,1774449.0,8007.0,"CanSino, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
Argentina,2021,5,329376366,265625045.0,63748945.0,103825064.0,804421.0,2196043.0,14228.0,"CanSino, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
Argentina,2021,6,529269461,419400581.0,109862840.0,125059837.0,688590.0,2601189.0,16211.0,"CanSino, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
Argentina,2021,7,857392566,682218768.0,175163491.0,146386195.0,459390.0,3120501.0,11417.0,"CanSino, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
Argentina,2021,8,1198936793,849553506.0,349365906.0,157553999.0,255856.0,3383419.0,6091.0,"CanSino, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
Argentina,2021,9,1472705509,880690069.0,592647466.0,156899177.0,71282.0,3415136.0,3367.0,"CanSino, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
Argentina,2021,10,1770314232,996122845.0,776919236.0,163452993.0,31905.0,3584551.0,771.0,"CanSino, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
Argentina,2021,11,1978244683,1094891379.0,854487182.0,159264713.0,41941.0,3488482.0,639.0,"CanSino, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
Argentina,2021,12,2298339783,1181650077.0,996089439.0,167592259.0,323660.0,3622740.0,580.0,"CanSino, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
Argentina,2022,1,2599615885,1226863822.0,1068904150.0,219509876.0,2724248.0,3675187.0,4104.0,"CanSino, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
Argentina,2022,2,2572032841,1134280781.0,1008120673.0,244540254.0,522000.0,3479596.0,4879.0,"CanSino, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
Argentina,2022,3,2767516190,1184501515.0,1065880839.0,278486987.0,137255.0,3946404.0,1867.0,"CanSino, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
Austria,2021,1,628886,601181.0,28076.0,12102376.0,53583.0,217497.0,1499.0,"Johnson&Johnson, Moderna, Novavax, Oxford/AstraZeneca, Pfizer/BioNTech"
Austria,2021,2,2138460,1364280.0,776204.0,12191179.0,45042.0,229966.0,840.0,"Johnson&Johnson, Moderna, Novavax, Oxford/AstraZeneca, Pfizer/BioNTech"
Austria,2021,3,5032891,3684874.0,1352386.0,15518627.0,86789.0,277208.0,778.0,"Johnson&Johnson, Moderna, Novavax, Oxford/AstraZeneca, Pfizer/BioNTech"
Austria,2021,4,12893302,9255844.0,3648109.0,17593916.0,72641.0,294285.0,866.0,"Johnson&Johnson, Moderna, Novavax, Oxford/AstraZeneca, Pfizer/BioNTech"
Austria,2021,5,17886445,12955577.0,5028864.0,19700766.0,25945.0,324107.0,398.0,"Johnson&Johnson, Moderna, Novavax, Oxford/AstraZeneca, Pfizer/BioNTech"
Austria,2021,6,26936391,17637157.0,9661616.0,19456014.0,5597.0,319981.0,101.0,"Johnson&Johnson, Moderna, Novavax, Oxford/AstraZeneca, Pfizer/BioNTech"
