"location","death_to_case_ratio"
"Ecuador","0.05814740190081165876"
"Bulgaria","0.04124689524865705302"
"Hungary","0.03488539896566498807"
"Italy","0.02925759905547951139"
"Romania","0.02921798405439251325"
"Poland","0.02494785280449852495"
"Germany","0.02246058331795657494"
"Chile","0.02238838961081108228"
"Argentina","0.02199759665781208485"
"Belgium","0.02165836249329556685"
"Croatia","0.02088859355009057040"
"Spain","0.01935090841949304955"
"Portugal","0.01799323236493319886"
"France","0.01797769240157059963"
"Latvia","0.01732451292806333184"
"Liechtenstein","0.01732162110372494628"
"Czechia","0.01720929112047863638"
"United States","0.01683631323638511418"
"Slovenia","0.01626126932772392943"
"Lithuania","0.01515915344500378944"
"Austria","0.01500221147440965784"
"Ireland","0.01472319901125858891"
"Switzerland","0.01442368982257964769"
"Slovakia","0.01430944850423750381"
"Sweden","0.01418078147281815650"
"Malta","0.01284207417235362017"
"Luxembourg","0.01098325071093429812"
"Netherlands","0.00993216131773603641"
"Finland","0.00927893767521867969"
"Estonia","0.00881402133352437253"
"Denmark","0.00789978291612014458"
"Norway","0.00530952684595327089"
"Cyprus","0.00469267331878233343"
