"location","total_deaths"
"United States","223294299.0"
"Italy","43595671.0"
"France","38332112.0"
"Argentina","31681182.0"
"Germany","30901985.0"
"Spain","28644917.0"
"Poland","24394356.0"
"Romania","12271936.0"
"Chile","11113710.0"
"Czechia","10127999.0"
"Hungary","9635417.0"
"Ecuador","8959876.0"
"Belgium","8947146.0"
"Bulgaria","6554630.0"
"Netherlands","6315257.0"
"Portugal","6070273.0"
"Sweden","5103122.0"
"Slovakia","4060746.0"
"Switzerland","3883259.0"
"Austria","3768302.0"
"Croatia","2852144.0"
"Ireland","1758645.0"
"Lithuania","1630370.0"
"Slovenia","1585305.0"
"Denmark","917611.0"
"Latvia","907184.0"
"Estonia","425939.0"
"Finland","375136.0"
"Norway","289478.0"
"Luxembourg","283934.0"
"Malta","147046.0"
"Cyprus","145737.0"
"Liechtenstein","21062.0"
