"location","total_vaccinated_one_dose","total_fully_vaccinated","total_deaths"
"United States","58077557268.0","47996520901.0","223294299.0"
"Germany","13295244463.0","10752641667.0","30901985.0"
"France","11165051910.0","8539327687.0","38332112.0"
"Italy","10100398243.0","8018591263.0","43595671.0"
"Spain","5633939383.0","4766305266.0","28644917.0"
"Argentina","6626908615.0","3966627143.0","31681182.0"
"Chile","3917562404.0","3357824505.0","11113710.0"
"Poland","3881353228.0","3338540343.0","24394356.0"
"Belgium","1986243972.0","1643622928.0","8947146.0"
"Ecuador","2103335627.0","1483974493.0","8959876.0"
"Romania","862285236.0","1376649094.0","12271936.0"
"Czechia","1447887221.0","1197122157.0","10127999.0"
"Switzerland","1258672643.0","1085418832.0","3883259.0"
"Portugal","989918412.0","999579599.0","6070273.0"
"Hungary","1096401707.0","903818896.0","9635417.0"
"Denmark","995884912.0","838202201.0","917611.0"
"Ireland","844916688.0","712175574.0","1758645.0"
"Norway","895570930.0","664580532.0","289478.0"
"Lithuania","400295195.0","339324673.0","1630370.0"
"Netherlands","415511795.0","319374347.0","6315257.0"
"Bulgaria","116419172.0","271027820.0","6554630.0"
"Slovenia","263311282.0","220652083.0","1585305.0"
"Croatia","383318504.0","211884939.0","2852144.0"
"Latvia","219586538.0","186671637.0","907184.0"
"Sweden","227987775.0","176249301.0","5103122.0"
"Austria","203713455.0","165058202.0","3768302.0"
"Estonia","179550453.0","148279008.0","425939.0"
"Malta","101338412.0","88443464.0","147046.0"
"Finland","115197338.0","79163971.0","375136.0"
"Slovakia","87881665.0","73748529.0","4060746.0"
"Cyprus","63993355.0","53018660.0","145737.0"
"Liechtenstein","5534078.0","4755555.0","21062.0"
"Luxembourg","92739526.0","938940.0","283934.0"
