"location","total_vaccinations","total_cases"
"United States","96444028684","13262660053.0"
"Germany","24386624551","1375831810.0"
"France","20242613793","2132204242.0"
"Italy","18026995904","1490063177.0"
"Argentina","10739681902","1440211060.0"
"Chile","7168387064","496405065.0"
"Ecuador","3792476068","154089017.0"
"Romania","2775200745","420013098.0"
"Czechia","2660980063","588519244.0"
"Switzerland","2366307369","269227850.0"
"Spain","2197044747","1480287973.0"
"Poland","1237256144","977813850.0"
"Netherlands","748670231","635839149.0"
"Belgium","541942315","413103530.0"
"Portugal","473338164","337364231.0"
"Hungary","437256260","276202001.0"
"Sweden","424112760","359861832.0"
"Austria","383232249","251183101.0"
"Latvia","371991425","52364185.0"
"Denmark","266188863","116156483.0"
"Finland","238127028","40428766.0"
"Norway","235664428","54520489.0"
"Ireland","229733947","119447207.0"
"Slovakia","151521343","283780748.0"
"Croatia","119689179","136540739.0"
"Lithuania","106131069","107550201.0"
"Bulgaria","88141803","158912082.0"
"Slovenia","68896487","97489622.0"
"Estonia","48465035","48325161.0"
"Cyprus","37287250","31056285.0"
"Malta","29630191","11450331.0"
"Luxembourg","24125996","25851545.0"
"Liechtenstein","1539402","1215937.0"
