"location","vaccine_types_used","death_rate"
"Ecuador","Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, CanSino","0.06452429953812151358"
"Ecuador","CanSino, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac","0.06355866399740295358"
"Ecuador","Pfizer/BioNTech, Sinovac","0.06254509343436788776"
"Ecuador","Pfizer/BioNTech, Sinovac, Oxford/AstraZeneca","0.05737707002192722730"
"Ecuador","Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac","0.05046446679239895262"
"Bulgaria","Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech","0.04156381733464429947"
"Bulgaria","Moderna, Oxford/AstraZeneca, Pfizer/BioNTech","0.04066033122465819972"
"Bulgaria","Pfizer/BioNTech, Moderna","0.03990516442044567410"
"Bulgaria","Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Johnson&Johnson","0.03932836731944701702"
"Hungary","Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V","0.03532340904256315358"
"Hungary","Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sputnik V, Sinopharm/Beijing","0.03513524147593319855"
"Italy","Moderna, Pfizer/BioNTech, Johnson&Johnson, Oxford/AstraZeneca","0.03472140080052632794"
"Italy","Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Johnson&Johnson","0.03430671027669053139"
"Hungary","Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V, Johnson&Johnson","0.03337570965396049014"
"Hungary","Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V","0.03280618036412580869"
"Romania","Johnson&Johnson, Moderna, Pfizer/BioNTech, Oxford/AstraZeneca","0.03224330552112535458"
"Hungary","Pfizer/BioNTech, Moderna","0.03213211802771576404"
"Romania","Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech","0.03047696489067843760"
"Italy","Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech","0.02944839501323651508"
"Romania","Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Johnson&Johnson","0.02749580282048413525"
"Chile","Pfizer/BioNTech","0.02618044381277220679"
"Italy","Johnson&Johnson, Moderna, Pfizer/BioNTech, Oxford/AstraZeneca","0.02612834368792658108"
"Argentina","Moderna, Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V","0.02552820736853116392"
"Romania","Moderna, Oxford/AstraZeneca, Pfizer/BioNTech","0.02546284513484240399"
"Romania","Pfizer/BioNTech, Moderna, Oxford/AstraZeneca","0.02540835473499005053"
"Poland","Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech","0.02526956021615586176"
"Romania","Oxford/AstraZeneca, Pfizer/BioNTech, Moderna","0.02496464383775530230"
"Romania","Pfizer/BioNTech","0.02494898755249768247"
"Argentina","Moderna, Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V, CanSino","0.02481426960498078678"
"Chile","Pfizer/BioNTech, Sinovac","0.02455342316041532729"
"Argentina","CanSino, Moderna, Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V, Pfizer/BioNTech","0.02437408425366208670"
"France","Pfizer/BioNTech, Moderna","0.02391809952041991683"
"Poland","Johnson&Johnson, Moderna, Novavax, Oxford/AstraZeneca, Pfizer/BioNTech","0.02382539137705539058"
"France","Moderna, Pfizer/BioNTech, Oxford/AstraZeneca","0.02331731616095241714"
"Chile","Pfizer/BioNTech, Sinovac, Oxford/AstraZeneca","0.02247951570561689927"
"Germany","Johnson&Johnson, Moderna, Novavax, Oxford/AstraZeneca, Pfizer/BioNTech","0.02246058331795657494"
"Chile","CanSino, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac","0.02194197274927953995"
"France","Moderna, Oxford/AstraZeneca, Pfizer/BioNTech","0.02173634265541375871"
"Belgium","Johnson&Johnson, Moderna, Novavax, Oxford/AstraZeneca, Pfizer/BioNTech","0.02165836249329556685"
"Chile","Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, CanSino","0.02159465921970745784"
"Argentina","CanSino, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V","0.02158600075544503781"
"Slovenia","Pfizer/BioNTech, Moderna","0.02147266684780000062"
"Croatia","Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech","0.02091441194919600333"
"Slovenia","Moderna, Pfizer/BioNTech, Oxford/AstraZeneca","0.02064354922420024008"
"Croatia","Pfizer/BioNTech, Moderna, Oxford/AstraZeneca","0.02040506717575185594"
"Slovenia","Moderna, Oxford/AstraZeneca, Pfizer/BioNTech","0.01950064013750641453"
"Portugal","Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Covaxin","0.01939367822336986329"
"Spain","Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech","0.01935090841949304955"
"France","Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Johnson&Johnson","0.01919717741797451846"
"Latvia","Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Johnson&Johnson, Sinovac","0.01882028620330537724"
"Latvia","Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Johnson&Johnson, Sinovac, Sinopharm/Beijing","0.01873766922688350219"
"Latvia","Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing","0.01825242895579063359"
"Latvia","Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac","0.01807532226195346310"
"United States","Moderna, Pfizer/BioNTech, Johnson&Johnson","0.01796082494936635127"
"Latvia","Pfizer/BioNTech, Johnson&Johnson, Moderna, Oxford/AstraZeneca, Sinopharm/Beijing","0.01745290716997494815"
"Czechia","Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech","0.01734062857646382149"
"Liechtenstein","Johnson&Johnson, Moderna, Pfizer/BioNTech","0.01732162110372494628"
"United States","Moderna, Pfizer/BioNTech","0.01713857733103521584"
"France","Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech","0.01692349611664325665"
"Czechia","Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Johnson&Johnson","0.01676578595292495238"
"United States","Johnson&Johnson, Moderna, Pfizer/BioNTech","0.01669869495011049411"
"Czechia","Moderna, Pfizer/BioNTech, Oxford/AstraZeneca","0.01664477041261835065"
"Latvia","Johnson&Johnson, Moderna, Pfizer/BioNTech, Oxford/AstraZeneca","0.01662801474912858178"
"Ireland","Pfizer/BioNTech, Johnson&Johnson, Moderna, Oxford/AstraZeneca","0.01662058991719935325"
"Lithuania","Moderna, Oxford/AstraZeneca, Pfizer/BioNTech","0.01653053125942858212"
"Portugal","Johnson&Johnson, Moderna, Pfizer/BioNTech, Sinopharm/Beijing, Oxford/AstraZeneca, Sinovac","0.01651061586516872912"
"Portugal","Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac","0.01629441131849392146"
"Latvia","Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech","0.01622785994540867434"
"Czechia","Moderna, Pfizer/BioNTech","0.01619785809032342302"
"Lithuania","Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Johnson&Johnson","0.01617822476262540990"
